ListingID,SellerCity,SellerState,SellerZip,SellerListSrc,SellerRating,VehBodystyle,VehCertified,VehColorExt,VehColorInt,VehDriveTrain,VehEngine,VehFuel,VehHistory,VehListdays,VehMake,VehMileage,VehModel,VehPriceLabel,VehType,VehTransmission,VehYear,Vehicle_Trim,Dealer_Listing_Price
15094,White Hall,WV,26554,Digital Motorworks (DMi),3.6,SUV,FALSE,Billet Silver Metallic Clearcoat,Black,4WD,3.6L V6 24V MPFI DOHC Flexible Fuel,E85 Flex Fuel,,0.944027778,Jeep,40398,Grand Cherokee,,Used,8-Speed Automatic,2015,Altitude,26999
17626,Laurel,MD,20723,Inventory Command Center,4.7,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Black,4WD,V6 Cylinder Engine 3.0L,Diesel,"1 Owner, Buyback Protection Eligible",28.3153125,Jeep,32858,Grand Cherokee,Good Deal,Used,8-Speed A/T,2015,Limited,28000
17982,Morton,IL,61550,Digital Motorworks (DMi),4.7,SUV,FALSE,True Blue Pearlcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",4.945428241,Jeep,34437,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Limited,29996
20984,Petersburg,IL,62675,Inventory Command Center,0,SUV,FALSE,Billet Silver Metallic,Black,4WD,3.6L V6 GAS,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",39.52231481,Jeep,15285,Grand Cherokee,Good Deal,Used,Automatic,2018,Overland,36895
21448,New Orleans,LA,70130,HomeNet Automotive,3.7,SUV,FALSE,Dark Granite Metallic,Jet Black,FWD,Gas V6 3.6L/222.6,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",5.682476852,Cadillac,21098,XT5,Good Deal,Used,8-Speed Automatic,2018,Premium Luxury,35830
21807,Bradenton,FL,34207,HomeNet Automotive,4.9,SUV,TRUE,Crystal White Tricoat,Cirrus,FWD,Gas V6 3.6L/222,Gasoline,"1 Owner, Buyback Protection Eligible",6.737384259,Cadillac,3547,XT5,Good Deal,Used,8-Speed Automatic,2019,Luxury,45988
25753,Elma,NY,14059,Digital Motorworks (DMi),4.1,SUV,FALSE,Billet Silver Metallic Clearcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",14.95806713,Jeep,14751,Grand Cherokee,Fair Price,Used,8-Speed Automatic,2018,Limited,38376
26678,North Pekin,IL,61554,HomeNet Automotive,4.8,SUV,FALSE,Bright White Clearcoat,Lt Frost Beige/Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",146.7290509,Jeep,13354,Grand Cherokee,Great Deal,Used,8-Speed Automatic w/OD,2018,Limited,32990
30524,Fort Worth,TX,76120,Digital Motorworks (DMi),5,SUV,FALSE,White,Tan,FWD,3.6L V6 24V GDI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",11.78684028,Cadillac,12146,XT5,Good Deal,Used,8-Speed Automatic,2017,Base,32998
31932,Mt Juliet,TN,37122,HomeNet Automotive,4.8,SUV,FALSE,Bright White Clearcoat,Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Buyback Protection Eligible",10.94025463,Jeep,43231,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2015,Limited,22877
32654,Union City,TN,38261,Jeep Certified Program,4.7,SUV,TRUE,Gray,,,,Gasoline,"2 Owners, Non-Personal Use Reported, Buyback Protection Eligible",2.961574074,Jeep,22782,Grand Cherokee,Fair Price,Used,Automatic,2018,,41981
34061,Baytown,TX,77521,Digital Motorworks (DMi),4.3,SUV,FALSE,Dark Granite Metallic,Cirrus,FWD,3.6L V6 24V GDI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",25.89943287,Cadillac,28293,XT5,Good Deal,Used,8-Speed Automatic,2018,Premium Luxury,34782
34857,Randolph,OH,44265,Inventory Command Center,4.9,SUV,FALSE,Red Passion Tintcoat,Jet Black,AWD,3.6L V6 DI VVT,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",38.11453704,Cadillac,25410,XT5,Good Deal,Used,8-Speed Automatic,2018,Luxury,36500
35091,Savannah,TN,38372,HomeNet Automotive,4.6,SUV,FALSE,Bright White Clearcoat,Black Leather,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Accident(s) Reported, Non-Personal Use Reported, Buyback Protection Eligible",26.82459491,Jeep,46196,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2017,Limited,26072
35785,Fredericksburg,VA,22406,Digital Motorworks (DMi),4.7,SUV,FALSE,Deep Cherry Red,,4WD,3.6L V6 24V MPFI DOHC Flexible Fuel,E85 Flex Fuel,"1 Owner, Buyback Protection Eligible",117.8453935,Jeep,30726,Grand Cherokee,Great Deal,Used,8-Speed Automatic,2015,Laredo,19997
38149,Highland Charter Twp,MI,48357,Digital Motorworks (DMi),4.9,SUV,FALSE,Granite Crystal Clearcoat Metallic,Black / Dark Sienna Brown,4WD,5.7L V8 16V MPFI OHV,Gasoline,"1 Owner, Buyback Protection Eligible",18.92076389,Jeep,35990,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Summit,31750
38723,Battle Creek,MI,49037,Inventory Command Center,4.7,SUV,FALSE,Velvet Red Pearlcoat,Black Leather,4WD,3.6L V6,Gasoline,"1 Owner, Buyback Protection Eligible",73.76600694,Jeep,12912,Grand Cherokee,Good Deal,Used,8-Speed Automatic (845RE),2017,Limited,31992
38741,Waterloo,NY,13165,Digital Motorworks (DMi),1,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Light Frost Beige / Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Accident(s) Reported, Buyback Protection Eligible",24.96532407,Jeep,39544,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Limited,24999
39482,Indianapolis,IN,46280,Digital Motorworks (DMi),3.3,SUV,FALSE,White,Black,4WD,3.6L V6 24V MPFI DOHC Flexible Fuel,E85 Flex Fuel,"1 Owner, Buyback Protection Eligible",7.840173611,Jeep,31486,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Altitude,30998
40513,Springfield,MO,65807,Digital Motorworks (DMi),4.8,SUV,FALSE,Billet Silver Metallic Clearcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",33.93821759,Jeep,12247,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2018,Summit,39259
41457,Cornelius,NC,28031,Jeep Certified Program,4.6,SUV,TRUE,Brilliant Black Crystal Pearlcoat,Black,4x4,V-8 cyl,Gasoline,"1 Owner, Buyback Protection Eligible",10.80892361,Jeep,30431,Grand Cherokee,Fair Price,Used,8-Speed Automatic,2016,High Altitude,35000
41832,Fairfield,OH,45014,HomeNet Automotive,4.3,SUV,FALSE,Stellar Black Metallic,Sahara Beige,FWD,Gas V6 3.6L/222.6,Gasoline,"1 Owner, Buyback Protection Eligible",33.70493056,Cadillac,26421,XT5,Great Deal,Used,8-Speed Automatic,2017,FWD,27750
44174,Brandywine,MD,20613,Digital Motorworks (DMi),3,SUV,FALSE,Gray,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Accident(s) Reported, Buyback Protection Eligible",10.84138889,Jeep,28241,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Limited,25998
45943,Elkader,IA,52043,Digital Motorworks (DMi),4.9,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Black / Dark Sienna Brown,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",136.886713,Jeep,29185,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Limited,26988
48367,Fort Myers,FL,33907,HomeNet Automotive,4.9,SUV,TRUE,Stellar Black Metallic,Jet Black,FWD,Gas V6 3.6L/222.6,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",42.2281713,Cadillac,24564,XT5,Good Deal,Used,8-Speed Automatic,2018,Premium Luxury,39995
48991,West Salem,WI,54669,Digital Motorworks (DMi),5,SUV,FALSE,Bright White Clearcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",6.484328704,Jeep,12751,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2018,Limited,33990
49159,Milwaukee,WI,53221,Inventory Command Center,4.8,SUV,FALSE,True Blue Pearlcoat,Black,4WD,V6 Cylinder Engine 3.6L,Gasoline,"1 Owner, Buyback Protection Eligible",24.31197917,Jeep,31864,Grand Cherokee,Great Deal,Used,AUTOMATIC,2017,Laredo,25997
52528,Friendswood,TX,77546,Digital Motorworks (DMi),4.6,SUV,TRUE,Crystal White Tri-Coat,Shara Beige,FWD,3.6L V6 24V GDI DOHC,Gasoline,"0 Owners, Accident(s) Reported, Non-Personal Use Reported, Title Issue(s) Reported",157.8505903,Cadillac,7464,XT5,Good Deal,Used,8-Speed Automatic,2018,Base,35588
53047,Elkhart,IN,46514,Digital Motorworks (DMi),4.8,SUV,FALSE,True Blue,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",5.498449074,Jeep,17529,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2018,Limited,31490
56883,Bountiful,UT,84010,Inventory Command Center,5,SUV,FALSE,Black,TAN,FWD,3.6L,Gasoline,"1 Owner, Accident(s) Reported, Buyback Protection Eligible",111.3855208,Cadillac,7501,XT5,Great Deal,Used,Automatic,2017,Base,26495
59742,Chardon,OH,44024,Jeep Certified Program,5,SUV,TRUE,Brilliant Black Crystal Pearl Coat,Black,4WD,6 Cylinder,Gasoline,"1 Owner, Buyback Protection Eligible",49.6650463,Jeep,12923,Grand Cherokee,Great Deal,Used,8-Speed Shiftable Automatic,2016,Laredo,25500
60234,Scranton,PA,18503,HomeNet Automotive,3.8,SUV,FALSE,Granite Crystal Metallic Clearcoat,Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",34.57913194,Jeep,37151,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2015,Overland,28130
60529,Oklahoma City,OK,73114,Digital Motorworks (DMi),4.9,SUV,FALSE,Radiant Silver Metallic,Jet Black,AWD,3.6L V6 24V GDI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",313.9438426,Cadillac,31793,XT5,Good Deal,Used,8-Speed Automatic,2017,Luxury,38997
62787,Lancaster,WI,53813,Digital Motorworks (DMi),5,SUV,FALSE,White,,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",123.4846644,Jeep,10893,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Limited,33373
64227,Bristol,TN,37620,Inventory Command Center,4.9,SUV,FALSE,Bright White Clearcoat,Black,4WD,6 Cylinder,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",20.07960648,Jeep,22195,Grand Cherokee,Fair Price,Used,8-Speed,2018,Summit,41600
65060,Wausau,WI,54403,Inventory Command Center,3.5,SUV,FALSE,Granite Crystal Metallic Clearcoat,lt frost beige black,4WD,3.6L V6 24V VVT,Gasoline,"1 Owner, Accident(s) Reported, Buyback Protection Eligible",119.4410764,Jeep,40801,Grand Cherokee,Great Deal,Used,8-Speed Automatic,2015,Limited,25710
65921,Chippewa Falls,WI,54729,Digital Motorworks (DMi),4.5,SUV,FALSE,Walnut Brown,Light Frost Beige,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Accident(s) Reported, Non-Personal Use Reported, Buyback Protection Eligible",89.96409722,Jeep,21093,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Limited,31988
69242,Champaign,IL,61821,HomeNet Automotive,3.8,SUV,FALSE,Granite Crystal Metallic Clearcoat,Light Frost/Brown,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Buyback Protection Eligible",13.47663194,Jeep,40277,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2015,Overland,29560
70200,Atlanta,GA,30303,HomeNet Automotive,4.3,SUV,FALSE,Granite Crystal Metallic Clearcoat,Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"2 Owners, Non-Personal Use Reported, Buyback Protection Eligible",21.48415509,Jeep,49149,Grand Cherokee,Fair Price,Used,8-Speed Automatic w/OD,2017,Limited,27060
71395,Murray,KY,42071,Digital Motorworks (DMi),4.8,SUV,FALSE,Diamond Black,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",137.5025463,Jeep,24118,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Altitude,29740
71551,Cockeysville,MD,21030,HomeNet Automotive,3.8,SUV,FALSE,Maximum Steel Metallic Clearcoat,Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Buyback Protection Eligible",13.96927083,Jeep,38625,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2015,Limited,25291
72601,Gettysburg,PA,17325,Inventory Command Center,3,SUV,FALSE,Bright White Clearcoat,black,4WD,3.6L V6 24V VVT,Gasoline,"1 Owner, Buyback Protection Eligible",138.7121644,Jeep,40084,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Limited,24900
73390,Jacksonville,FL,32202,HomeNet Automotive,4.5,SUV,FALSE,Dark Granite Metallic,Jet Black,FWD,Gas V6 3.6L/222.6,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",77.31043981,Cadillac,17536,XT5,Good Deal,Used,8-Speed Automatic,2018,Premium Luxury,35280
75971,Wexford,PA,15090,Digital Motorworks (DMi),5,SUV,FALSE,Granite Crystal Clearcoat Metallic,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",29.83703704,Jeep,33690,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Laredo,27999
79756,Raleigh,NC,27617,Digital Motorworks (DMi),4.7,SUV,FALSE,Granite Crystal Clearcoat Metallic,Black,4WD,3.6L V6 24V MPFI DOHC Flexible Fuel,E85 Flex Fuel,"1 Owner, Buyback Protection Eligible",3.490243056,Jeep,22832,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Laredo,23890
83836,Fredericksburg,VA,22408,Digital Motorworks (DMi),4.7,SUV,FALSE,Bright White Clearcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"2 Owners, Buyback Protection Eligible",24.94475694,Jeep,33559,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Limited,26000
84352,Warsaw,IN,46580,My Dealer Center,0,SUV,FALSE,Charcoal,Black,4WD,3.6L V6 DOHC 24V,Unknown,"0 Owners, Buyback Protection Eligible",178.0091319,Jeep,34609,Grand Cherokee,Great Deal,Used,Automatic,2017,Laredo,24000
86662,GROVE CITY,PA,16127,Inventory Command Center,0,SUV,FALSE,White,Black,4WD,6 Cylinder,Gasoline,"1 Owner, Buyback Protection Eligible",227.7698264,Jeep,30624,Grand Cherokee,Good Deal,Used,8 Speed Automatic,2015,Limited,27190
87178,Buford,GA,30518,Inventory Command Center,3.7,SUV,FALSE,White,BEIGE,Four Wheel Drive,3.6L V6 DOHC 24V,Gasoline,"1 Owner, Buyback Protection Eligible",19.48111111,Jeep,40591,Grand Cherokee,Great Deal,Used,Automatic,2016,Limited,23988
87292,Champaign,IL,61821,HomeNet Automotive,3.8,SUV,FALSE,Billet Silver Metallic Clearcoat,Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,,20.42173611,Jeep,48880,Grand Cherokee,,Used,8-Speed Automatic w/OD,2015,Altitude,26730
88288,Pottstown,PA,19464,Inventory Command Center,0,SUV,FALSE,White,Black,4WD,3.6L V6 DOHC 24V,Gasoline,"1 Owner, Accident(s) Reported, Buyback Protection Eligible",74.52465278,Jeep,32117,Grand Cherokee,Good Deal,Used,Automatic,2015,Limited,25999
90636,Colorado Springs,CO,80905,Digital Motorworks (DMi),4.8,SUV,TRUE,Crystal White Tri-Coat,Shara Beige,AWD,3.6L V6 24V GDI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",34.21101852,Cadillac,34939,XT5,Great Deal,Used,8-Speed Automatic,2017,Luxury,34489
90916,Battle Creek,MI,49037,Inventory Command Center,4.7,SUV,FALSE,Diamond Black Crystal Pearlcoat,Black Leather,4WD,3.6L V6,Gasoline,"0 Owners, Buyback Protection Eligible",95.77134259,Jeep,12589,Grand Cherokee,Good Deal,Used,8-Speed Automatic (845RE),2017,Limited,31992
92151,White Bear Lake,MN,55110,HomeNet Automotive,3,SUV,FALSE,Bright White Clearcoat,Light Frost/Brown,4WD,Regular Unleaded V-8 5.7 L/345,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",48.53203704,Jeep,23757,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2017,Overland,37988
93043,Skokie,IL,60077,Inventory Command Center,3.9,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Black,4WD,3.6L V6 24V VVT,Gasoline,"1 Owner, Buyback Protection Eligible",21.17585648,Jeep,36062,Grand Cherokee,Great Deal,Used,8-Speed Automatic,2016,Laredo,24500
93351,Chicago,IL,60606,HomeNet Automotive,4,SUV,FALSE,Granite Crystal Metallic Clearcoat,Lt Frost Beige/Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",25.44555556,Jeep,31591,Grand Cherokee,Great Deal,Used,8-Speed Automatic w/OD,2017,Limited,27930
94318,Niagara Falls,NY,14304,Inventory Command Center,4.5,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Black,4WD,3.6 L,Gasoline,"1 Owner, Buyback Protection Eligible",13.9255787,Jeep,6777,Grand Cherokee,Good Deal,Used,Automatic,2016,Laredo,24500
94961,Elgin,IL,60120,HomeNet Automotive,4.8,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Buyback Protection Eligible",90.75177083,Jeep,27533,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2015,Altitude,28850
97749,Fort Wayne,IN,46805,Digital Motorworks (DMi),4.7,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Sepia / Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",6.475868056,Jeep,35170,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2016,Summit,34988
99637,Hurricane,WV,25526,HomeNet Automotive,4.3,SUV,FALSE,Diamond Black Crystal Pearlcoat,Black,4WD,Regular Unleaded V-6 3.6 L/220,Gasoline,"1 Owner, Accident(s) Reported, Non-Personal Use Reported, Buyback Protection Eligible",75.78121528,Jeep,36045,Grand Cherokee,Fair Price,Used,8-Speed Automatic w/OD,2017,Limited,27986
100398,Elmhurst,IL,60126,Jeep Certified Program,4.6,SUV,TRUE,Silver,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",42.84938657,Jeep,21965,Grand Cherokee,Fair Price,Used,8-Speed Automatic,2018,Summit,39493
101646,North Olmsted,OH,44070,Inventory Command Center,4.9,SUV,FALSE,Diamond Black Crystal Pearlcoat,Black,4WD,3.6L V6 24V VVT,Gasoline,"1 Owner, Buyback Protection Eligible",5.578576389,Jeep,9715,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Laredo,26924
102212,Online Only,IL,60601,Digital Motorworks (DMi),4.9,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Light Frost,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Accident(s) Reported, Non-Personal Use Reported, Buyback Protection Eligible",34.48302083,Jeep,33582,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Limited,22999
105013,Dallas,TX,75209,Digital Motorworks (DMi),4.8,SUV,TRUE,Red Passion Tintcoat,Jet Black,FWD,3.6L V6 24V GDI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",16.43116898,Cadillac,31468,XT5,Fair Price,Used,8-Speed Automatic,2017,Premium Luxury,36888
105163,Florissant,MO,63033,Inventory Command Center,0,SUV,FALSE,White,,Four Wheel Drive,3.6L V6,E85 Flex Fuel,"1 Owner, Buyback Protection Eligible",3.191342593,Jeep,28476,Grand Cherokee,Great Deal,Used,A,2016,Laredo,26991
105329,Battle Creek,MI,49037,Inventory Command Center,4.7,SUV,FALSE,Deep Cherry Red Crystal Pearlcoat,Beige Leather,4WD,3.6L V6,Gasoline,"1 Owner, Buyback Protection Eligible",98.77287037,Jeep,36599,Grand Cherokee,Good Deal,Used,Automatic 8-Speed,2015,Overland,27950
107670,Kalamazoo,MI,49001,Digital Motorworks (DMi),3.6,SUV,FALSE,Bright White Clearcoat,Black,4WD,6.4L V8 16V MPFI OHV,Gasoline,"1 Owner, Buyback Protection Eligible",5.493923611,Jeep,5448,Grand Cherokee,Fair Price,Used,8-Speed Automatic,2018,SRT,57900
109732,Monticello,IL,61856,HomeNet Automotive,4.9,SUV,FALSE,Billet Silver Metallic Clearcoat,Black,4WD,Regular Unleaded V-8 5.7 L/345,Gasoline,"1 Owner, Buyback Protection Eligible",88.36853009,Jeep,17758,Grand Cherokee,Good Deal,Used,8-Speed Automatic w/OD,2017,Limited,30990
111150,Chicago,IL,60603,Digital Motorworks (DMi),4.6,SUV,FALSE,Gray,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",1.967800926,Jeep,48028,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Limited,24900
112098,Grand Blanc Charter Township,MI,48439,Jeep Certified Program,2.7,SUV,TRUE,Diamond Black,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",9.983680556,Jeep,17731,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2017,Altitude,31400
113158,Freeport,NY,11520,HomeNet Automotive,4.7,SUV,TRUE,Radiant Silver Metallic,Jet Black,AWD,Gas V6 3.6L/222.6,Gasoline,"2 Owners, Non-Personal Use Reported, Buyback Protection Eligible",68.74991898,Cadillac,20748,XT5,Good Deal,Used,8-Speed Automatic,2017,Luxury AWD,36995
115461,Colorado Springs,CO,80905,Digital Motorworks (DMi),4.8,SUV,FALSE,Dark Granite Metallic,Jet Black,AWD,3.6L V6 24V GDI DOHC,Gasoline,"1 Owner, Buyback Protection Eligible",130.8440394,Cadillac,29883,XT5,Great Deal,Used,8-Speed Automatic,2017,Premium Luxury,35989
116481,Grandville,MI,49418,Digital Motorworks (DMi),4.2,SUV,FALSE,Brilliant Black Crystal Pearlcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"1 Owner, Accident(s) Reported, Buyback Protection Eligible",13.99174769,Jeep,45320,Grand Cherokee,Good Deal,Used,8-Speed Automatic,2015,Limited,24465
117449,Farmington,MO,63640,Inventory Command Center,5,SUV,FALSE,Diamond Black Crystal Pearlcoat,Black,,3.6L V6,Gasoline,"2 Owners, Non-Personal Use Reported, Buyback Protection Eligible",76.64672454,Jeep,45749,Grand Cherokee,Fair Price,Used,Automatic 8-Speed,2017,Limited,31675
120686,Dixon,IL,61021,Digital Motorworks (DMi),4.4,SUV,FALSE,Bright White Clearcoat,Black,4WD,3.6L V6 24V MPFI DOHC,Gasoline,"0 Owners, Accident(s) Reported, Non-Personal Use Reported, Title Issue(s) Reported",27.9612963,Jeep,5000,Grand Cherokee,,Used,8-Speed Automatic,2018,Laredo,40185
121396,Memphis,TN,38119,Cadillac Certified Program,4.3,SUV,TRUE,Silver,,FRONT-WHEEL DRIVE,"Engine, 3.6L V6, DI, VVT, with Automatic Stop/Start (310 hp [231",Gasoline,"1 Owner, Non-Personal Use Reported, Buyback Protection Eligible",20.91561343,Cadillac,29686,XT5,Good Deal,Used,8-SPEED A/T,2017,,42921
